,dataSource,name,address,geo,siteUrl,tourArea,administrativeDong,lodgingCategory,roomType,description,aggregate_rating,star_rating,officalRating,facility,lastUpdate,telephone,imageUrl,event
0,KakaoMap,노적산방황토펜션,증산면 평촌리 252,"[35.895664, 128.0205097]",https://blog.naver.com/chs0114,,증산면,펜션,,,0,,,,2021.08.13.,010-2509-3687,"['https://img1.kakaocdn.net/relay/local/R680x420/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2F625AE86B4E9C4B5BB13C01481B49788D', 'https://img1.kakaocdn.net/relay/local/R680x420/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2F733CDB7F2D0D4CEA9D7F9A6FEF5AF678', 'https://img1.kakaocdn.net/relay/local/R680x420/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2F4FEF009B957F46459BEA3F4E50814671', 'https://img1.kakaocdn.net/relay/local/R680x420/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2F612C2C0EF2AC4038B5581BCF7994088A', 'https://img1.kakaocdn.net/relay/local/R680x420/?fname=http%3A%2F%2Fpostfiles1.naver.net%2FMjAyMDA3MDdfMTcy%2FMDAxNTk0MTMxNTY3MDcz.glkIYsi3hSWMs3B0wVtcgOw7Q_0OZnE4gNaHhRMMn3kg.uTtbMxu0a-Ufs8KLyYc9X8V07RwpsU6RPr2fnFfhmyAg.JPEG.prince_ss%2FDSC09399.JPG%3Ftype%3Dw966', 'https://img1.kakaocdn.net/relay/local/R680x420/?fname=http%3A%2F%2Fpostfiles15.naver.net%2FMjAyMDA3MDdfMzgg%2FMDAxNTk0MTMxNTY2NTI3.wHMBSUOUQaGAWyj_u7CLBXLn8vXgXrX8ww6SM_GE_lYg.gPtwIJKkE9NaEKvz7936ZphZmqy4xKM-Gk3VBftUcz4g.JPEG.prince_ss%2FDSC09398.JPG%3Ftype%3Dw966', 'https://img1.kakaocdn.net/relay/local/R680x420/?fname=http%3A%2F%2Fpostfiles10.naver.net%2FMjAyMDA3MDdfMTAy%2FMDAxNTk0MTMxNTY0ODg0.mU-SYwQwRkRM6C73S-r6QJvqKc3hLswZDt5xV8iJ9-Mg.3X2vcBhuE7b4KTtZYY8Vl3CsMb952zvqaTk4eg88p4og.JPEG.prince_ss%2FDSC09395.JPG%3Ftype%3Dw966', 'https://img1.kakaocdn.net/relay/local/R680x420/?fname=http%3A%2F%2Fpostfiles4.naver.net%2FMjAyMDA3MDdfMTk2%2FMDAxNTk0MTMxNTY3NTUz.ZujLM1Dvu1alNoStXVte68MMxBb0pN-wxtk3CEn1GC8g.desjCh-UbsRfaVAADWRsCw_D6kWVzatMKbszovTi2w0g.JPEG.prince_ss%2FDSC09400.JPG%3Ftype%3Dw966', 'https://img1.kakaocdn.net/relay/local/R680x420/?fname=http%3A%2F%2Fpostfiles14.naver.net%2FMjAyMDA3MDdfMTQg%2FMDAxNTk0MTMxNTY1NjMz.VJiQDHBisPGpzF2TW-9dzfCO5zdLXbzfJ0uaIHbaFosg.8vB3W6WMK3up00gzi0frzTV-nTVHOqs8xhGKDsH81e8g.JPEG.prince_ss%2FDSC09394.JPG%3Ftype%3Dw966', 'https://img1.kakaocdn.net/relay/local/R680x420/?fname=http%3A%2F%2Fpostfiles13.naver.net%2FMjAyMDA3MDdfMTIg%2FMDAxNTk0MTMxNTYyMDIy.XLvmjmw4wczrv9-12w1EoHhsud9eP-WYJf-zhAAYA_Mg._Oyhs7exHpm5BgMQ1LnYKj5p7-LR-h-D8oyMTnmp1gAg.JPEG.prince_ss%2FDSC09393.JPG%3Ftype%3Dw966']",
1,KakaoMap,황토민박펜션,증산면 평촌리 656-6,"[35.8853333, 128.0189155]",http://blog.naver.com/freemason21,,증산면,펜션,,,0,,,,2021.06.01.,010-8834-8560,"['https://img1.kakaocdn.net/relay/local/R680x420/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2F7A5DF48A98844AA9B08A3A46BC98DFAB', 'https://img1.kakaocdn.net/relay/local/R680x420/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2F3220F9F929474F7AA8358680A60FA819', 'https://img1.kakaocdn.net/relay/local/R680x420/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2F603AEFB518FC418F9204AA026F6C2684', 'https://img1.kakaocdn.net/relay/local/R680x420/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2Fsearchregister_1565816896', 'https://img1.kakaocdn.net/relay/local/R680x420/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2F60B1093D2C0E4328B286DA2542AA30F6', 'https://img1.kakaocdn.net/relay/local/R680x420/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2F7A5DF48A98844AA9B08A3A46BC98DFAB']",
2,KakaoMap,해인타운,부항면 해인리 177-2,"[36.0131358, 127.9072242]",,,부항면,펜션,,,0,,,,2019.09.11.,054-437-4492,[],
3,KakaoMap,삼도봉해인펜션,부항면 해인리 199-2,"[36.0133059, 127.9069089]",,,부항면,펜션,,,0,,,,2017.06.26.,,[],
4,KakaoMap,숲속에하루펜션,부항면 대야리 535-1,"[36.0192581, 127.9103645]",http://cafe.daum.net/kjm1night2day,,부항면,펜션,,,0,,,,2021.03.23.,010-5219-6474,"['https://img1.kakaocdn.net/relay/local/R680x420/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fcfile%2F1613DB484E1836170F', 'https://img1.kakaocdn.net/relay/local/R680x420/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2FDE7D679287824E3EBC0AA430D4B99BF7', 'https://img1.kakaocdn.net/relay/local/R680x420/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2F88ECDC10AFF5473BA0CEAF23E0EBBF3E', 'https://img1.kakaocdn.net/relay/local/R680x420/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2FCFD5BBEF40E54C359A2EE69A4DA0F715', 'https://img1.kakaocdn.net/relay/local/R680x420/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2FB7373E7FDA8B4975B67185FC69F6B654', 'https://img1.kakaocdn.net/relay/local/R680x420/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fcfile%2F1613DB484E1836170F']",
5,KakaoMap,휴먼트리펜션,무을면 안곡리 233-6,"[36.275943, 128.1524364]",http://www.humantreepension.com/,,무을면,펜션,"{'roomName': ['///민트', '///라벤더', '///바이올렛', '///아네모네', '///프리지아', '///민트', '///라벤더', '///바이올렛', '///아네모네', '///프리지아'], 'roomPrice': ['주중 110,000원|주말 160,000원', '주중 130,000원|주말 200,000원', '주중 300,000원|주말 400,000원', '주중 80,000원|주말 120,000원', '주중 300,000원|주말 400,000원', '주중 110,000원|주말 160,000원', '주중 130,000원|주말 200,000원', '주중 300,000원|주말 400,000원', '주중 80,000원|주말 120,000원', '주중 300,000원|주말 400,000원'], 'roomDescription': ['기준 2인|최대 2인', '기준 2인|최대 4인', '기준 2인|최대 8인', '기준 2인|최대 2인', '기준 2인|최대 8인', '기준 2인|최대 2인', '기준 2인|최대 4인', '기준 2인|최대 8인', '기준 2인|최대 2인', '기준 2인|최대 8인']}",,0,,,,2021.01.20.,010-3356-3322,"['https://img1.kakaocdn.net/relay/local/R680x420/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F3C012D2C2B0D4550A3FFD3B606E146AE', 'https://img1.kakaocdn.net/relay/local/R680x420/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FA38CD7D6129F4047BFD73BA545C8EAE0', 'https://img1.kakaocdn.net/relay/local/R680x420/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F3CEE2E8099EF4C0CB5F0EBC61F0E89B4', 'https://img1.kakaocdn.net/relay/local/R680x420/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F2C9664C2855F4164B554D0C20A5DE733', 'https://img1.kakaocdn.net/relay/local/R680x420/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F3D626A66E3A546278C1D59BC13CCC63C', 'https://img1.kakaocdn.net/relay/local/R680x420/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F940008514D60415BAD4778571A8D232D', 'https://img1.kakaocdn.net/relay/local/R680x420/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F654397F27BF943CCB93CEDC4BC0A90F0', 'https://img1.kakaocdn.net/relay/local/R680x420/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FCE87F2797A8C4CABA4BFAECD4EB9C4DF', 'https://img1.kakaocdn.net/relay/local/R680x420/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FC80E61E9A9E94905BE49D2DA9D4924FA', 'https://img1.kakaocdn.net/relay/local/R680x420/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyMTA2MjFfMjQw%2FMDAxNjI0Mjg0MTIxODI0.1PmXUT97g1Cr8NTXw1eSgIAMFdSrBWYtodU7Rm9a1HAg.upqcj5JxeePFuS_iwTiDMuK7BjIvNPCmgz-1VxIsWH8g.PNG.jjjjjinsz%2FSE-6abf1991-26c6-442b-a810-6eb822501bc8.png%3Ftype%3Dw966']",
6,KakaoMap,라온제나펜션,추풍령면 계룡리 518,"[36.2085679, 127.9638126]",,,추풍령면,펜션,,,3.0,,,,2018.08.13.,043-745-5425,"['https://img1.kakaocdn.net/relay/local/R680x420/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F55310D8C1C994521BD4A6C48B1E02A15', 'https://img1.kakaocdn.net/relay/local/R680x420/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F26BACD60185A4419AE875222C6D5A66A', 'https://img1.kakaocdn.net/relay/local/R680x420/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FC258A0D2355A4988859F7F26706DA92E', 'https://img1.kakaocdn.net/relay/local/R680x420/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F37B0A58BD471407F8F40706698963D0B', 'https://img1.kakaocdn.net/relay/local/R680x420/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyMTA2MThfMTEw%2FMDAxNjIzOTk2NTIyNzg1.tEqRa0tpandW1WChebY74Wd7QZhpWyLxVgMScBY_0MEg.Uqm1W7_pa4cV-3OEoYHYqwK7j-T-eKopD3PC9U6Qynkg.PNG.god0085%2FSE-ae2e3f8c-e2a5-4b1c-b6ed-a3546fa635cc.png%3Ftype%3Dw773', 'https://img1.kakaocdn.net/relay/local/R680x420/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyMTA2MThfMjk0%2FMDAxNjIzOTk2MDUzMzAz.2Uk8cQl8VPqno6yj321xT11Dbro2rUGhd_CUuchwRswg.JJx_E69c80TzSgniIncOklsian-07-h2EFwo3Z_3IlEg.JPEG.god0085%2FIMG_5561.jpg%3Ftype%3Dw773', 'https://img1.kakaocdn.net/relay/local/R680x420/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyMTA2MThfMjA2%2FMDAxNjIzOTk2MDUzNDg5.Cvw9auPrBJhsZrlNYaDCroRF6euhRqAcq8u0rDYKxg4g.5-mKfnS10RMsQxW-6AVQgCnHfoGRmqC6Box0k1krtXkg.JPEG.god0085%2FIMG_5562.jpg%3Ftype%3Dw773', 'https://img1.kakaocdn.net/relay/local/R680x420/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyMTA2MThfMjMx%2FMDAxNjIzOTk2Nzg0Mzgy.uJdNrDdJoOgNNpUocePqFXeZzP7UzGGU2oNz_qW34cwg.9NiTqWJKJrI2s-LO6QMB397vvqh8vteAdNacNY8UdBEg.JPEG.god0085%2FSE-ab2d0c86-9e8d-47a3-b07b-8b314fa5f8c9.jpg%3Ftype%3Dw773', 'https://img1.kakaocdn.net/relay/local/R680x420/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyMTA2MThfMTMy%2FMDAxNjIzOTk2NzgzNjEy.NgEq8HWOt8CHNx7BEWiHEjb5ND-KlPgnoPK0cGmM74Mg.RuXNLy_LoMlub4IpH-9c2Eirq1WaA1bIaoBv3kWcd6Mg.JPEG.god0085%2FSE-40c13afa-cce4-4e39-8471-62498f770ec3.jpg%3Ftype%3Dw773', 'https://img1.kakaocdn.net/relay/local/R680x420/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyMTA2MThfMjE1%2FMDAxNjIzOTk2MDUzMjQ4.PHahnehbEGcA9WGJPLhc9T1W9fL-nWWFL56qX41ygOEg.fwag4csU6g0v3FAezNTjIMIPWT_JO7kamjGnoLfInoMg.JPEG.god0085%2FIMG_5559.jpg%3Ftype%3Dw773']",
7,KakaoMap,유앤아이펜션,남통동 312-3,"[36.1108533, 128.3150952]",http://www.geummoyouandi.com/,,남통동,펜션,"{'roomName': ['해바라기(개별테라스)', '튤립(개별테라스)', '백합(개별테라스)', '장미(개별테라스)', '자스민', '해바라기(개별테라스)', '튤립(개별테라스)', '백합(개별테라스)', '장미(개별테라스)', '자스민', '라벤더', '로즈마리', '수선화(개별테라스)', '망고(개별테라스)', '레몬'], 'roomPrice': ['주중 380,000원|주말 450,000원', '주중 200,000원|주말 240,000원', '주중 130,000원|주말 150,000원', '주중 190,000원|주말 220,000원', '주중 150,000원|주말 170,000원', '주중 380,000원|주말 450,000원', '주중 200,000원|주말 240,000원', '주중 130,000원|주말 150,000원', '주중 190,000원|주말 220,000원', '주중 150,000원|주말 170,000원', '주중 170,000원|주말 200,000원', '주중 170,000원|주말 230,000원', '주중 300,000원|주말 330,000원', '주중 150,000원|주말 170,000원', '주중 50,000원|주말 50,000원'], 'roomDescription': ['기준 17인|최대 40인', '기준 10인|최대 15인', '기준 4인|최대 6인', '기준 8인|최대 14인', '기준 5인|최대 8인', '기준 17인|최대 40인', '기준 10인|최대 15인', '기준 4인|최대 6인', '기준 8인|최대 14인', '기준 5인|최대 8인', '기준 6인|최대 10인', '기준 6인|최대 10인', '기준 17인|최대 50인', '기준 4인|최대 8인', '기준 2인|최대 4인']}",,2.0,,,,2021.06.09.,010-4419-5300,"['https://img1.kakaocdn.net/relay/local/R680x420/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2Fsearchregister_919386092', 'https://img1.kakaocdn.net/relay/local/R680x420/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2F38B14BC973ED4C1BAF1FA5FCBF44D094', 'https://img1.kakaocdn.net/relay/local/R680x420/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2FAC6DE05079FB4051AFE26FEFE25C0153', 'https://img1.kakaocdn.net/relay/local/R680x420/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FDF5287DF20284019BF254CE0458A5FD8', 'https://img1.kakaocdn.net/relay/local/R680x420/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FE5B6D1F8C0BE47DAB690B006F93369B3', 'https://img1.kakaocdn.net/relay/local/R680x420/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FE7B5BB3C1D924966B881F7436019224C', 'https://img1.kakaocdn.net/relay/local/R680x420/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F8E44451A6A824B589DBA1F0061AFD0E7', 'https://img1.kakaocdn.net/relay/local/R680x420/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F320F669D1B5A4D1DAB48F75DABE25D00', 'https://img1.kakaocdn.net/relay/local/R680x420/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F968F111E694A4C719E9AB872608E114B', 'https://img1.kakaocdn.net/relay/local/R680x420/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F94CCB24B28D54F13AD3805E4EA4A12DE']",
8,KakaoMap,호수정원펜션,무을면 무수리 498,"[36.2893958, 128.1910597]",http://blog.naver.com/akdcl0528,,무을면,펜션,,,0,,,,2021.07.22.,,[],
9,KakaoMap,구미 유아이펜션,남통동 312-3,"[36.1108533, 128.3150952]",,,남통동,펜션,"{'roomName': ['///레몬', '///루비', '///진주', '///체리', '///라벤더', '///레몬', '///루비', '///진주', '///체리', '///라벤더', '///자스민', '///로즈마리', '///망고(개별테라스)', '///백합(개별테라스)', '///장미(개별테라스)'], 'roomPrice': ['주중 50,000원|주말 65,000원', '주중 40,000원|주말 60,000원', '주중 40,000원|주말 55,000원', '주중 50,000원|주말 75,000원', '주중 170,000원|주말 300,000원', '주중 50,000원|주말 65,000원', '주중 40,000원|주말 60,000원', '주중 40,000원|주말 55,000원', '주중 50,000원|주말 75,000원', '주중 170,000원|주말 300,000원', '주중 150,000원|주말 250,000원', '주중 170,000원|주말 300,000원', '주중 150,000원|주말 200,000원', '주중 130,000원|주말 220,000원', '주중 190,000원|주말 360,000원'], 'roomDescription': ['기준 2인|최대 4인', '기준 2인|최대 4인', '기준 2인|최대 4인', '기준 2인|최대 4인', '기준 6인|최대 10인', '기준 2인|최대 4인', '기준 2인|최대 4인', '기준 2인|최대 4인', '기준 2인|최대 4인', '기준 6인|최대 10인', '기준 5인|최대 8인', '기준 6인|최대 10인', '기준 4인|최대 8인', '기준 4인|최대 6인', '기준 8인|최대 14인']}",,1.0,,,,2021.06.23.,,"['https://img1.kakaocdn.net/relay/local/R680x420/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F7FB6678172C641979E5433B2A95EB6F7', 'https://img1.kakaocdn.net/relay/local/R680x420/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FDA9D64CEF1C743638352BC470E67F208', 'https://img1.kakaocdn.net/relay/local/R680x420/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FFF6C11BB6A2F41EA95170F59D9112EA4', 'https://img1.kakaocdn.net/relay/local/R680x420/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F36194FB0C31D480794F54987194548F5', 'https://img1.kakaocdn.net/relay/local/R680x420/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F4ED971E513324B21A12B6E490B3E00F1', 'https://img1.kakaocdn.net/relay/local/R680x420/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FC80666801A4743EDA0E2B1BFB66070D5', 'https://img1.kakaocdn.net/relay/local/R680x420/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F08C729494A1F4B34BDCC5F083FB63EC9', 'https://img1.kakaocdn.net/relay/local/R680x420/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F62521B4078C2433FA862DB38C4D1E008', 'https://img1.kakaocdn.net/relay/local/R680x420/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FBC13B7FEEB654CAE95D7C9FC4C40D78B', 'https://img1.kakaocdn.net/relay/local/R680x420/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F632CBE64DA124E9496E393F94653D1B0']",
