,dataSource,name,address,geo,siteUrl,tourArea,administrativeDong,lodgingCategory,roomType,description,aggregate_rating,star_rating,officalRating,facility,lastUpdate,telephone,imageUrl,event
0,KakaoMap,김천파크호텔,대항면 향천리 327-3,"[36.115654, 128.0169866]",http://instagram.com/parkwedding8058,,대항면,호텔,,,5.0,,,,2021.01.11.,,"['https://img1.kakaocdn.net/relay/local/R680x420/?fname=https%3A%2F%2Fk.kakaocdn.net%2Fdn%2FbckpN9%2FbtqSASXeV8Z%2FVaxF9ck2WWufFJqhuiypUK%2Fimg.jpg', 'https://img1.kakaocdn.net/relay/local/R680x420/?fname=http%3A%2F%2Fpostfiles9.naver.net%2FMjAyMDA3MDZfNzQg%2FMDAxNTk0MDA4NTI2MDMx.IjREtsPQYorPB2JQJ6KPLYXtkHz30odqiGzr-fzCDp4g.d28Ojy8_dglLkmqJktitH8wpDsjl4jddgGwv5Q73fZAg.JPEG.s2omm%2Fcats.jpg%3Ftype%3Dw966', 'https://img1.kakaocdn.net/relay/local/R680x420/?fname=http%3A%2F%2Fpostfiles9.naver.net%2FMjAyMDA3MDZfMTI1%2FMDAxNTk0MDA4NTI2MDI2.73Tkxtm91lBV9pxPDkRWiGfZl7BtiQaUUWmJzTc7ZI8g.JZTS6AcJMXj_fXF633Fv1gCuMv9-GoVyss6N9z9gYbQg.JPEG.s2omm%2F20200703_154538_HDR.jpg%3Ftype%3Dw966', 'https://img1.kakaocdn.net/relay/local/R680x420/?fname=http%3A%2F%2Fpostfiles1.naver.net%2FMjAyMDA3MDZfODkg%2FMDAxNTk0MDA4NTI2MDM1.LlPMxRix2x5mYAafUtW1olHunmgQBOxYS8-FrUNmTwgg.fsvxQyo11iXGM2HBdYm6UehIDnnWRLoBc3iA6TtwIyUg.JPEG.s2omm%2F20200703_152126_HDR.jpg%3Ftype%3Dw966', 'https://img1.kakaocdn.net/relay/local/R680x420/?fname=http%3A%2F%2Fpostfiles8.naver.net%2FMjAyMDA3MDZfODYg%2FMDAxNTk0MDA4NTI1NzI5.QpQze5OWP83beKfrpmMFo2SuDzSE5eFCmfIIEi87EqEg.68D4QwHurzk4Hw_T0rM-wzOz7kNVhxMUO_SApiHQCzsg.JPEG.s2omm%2F20200703_145347.jpg%3Ftype%3Dw966', 'https://img1.kakaocdn.net/relay/local/R680x420/?fname=http%3A%2F%2Fpostfiles7.naver.net%2FMjAyMDA3MDJfMTQw%2FMDAxNTkzNjY5NjAwNjEw.JErkVPaHJVQJ15t2SmbEwIthCkuwhaesHZm-RwwW_a4g.FtFlVT9l3xjzSkzY0b2lE9F9zfGf0sCnv80wMca3MfEg.JPEG.4bubuss%2F50.jpg%3Ftype%3Dw966', 'https://img1.kakaocdn.net/relay/local/R680x420/?fname=http%3A%2F%2Fpostfiles4.naver.net%2FMjAyMDA3MDJfMTk1%2FMDAxNTkzNjY5NTk5NTMw.zo87ojRGWl3ZzPJdpyoQ5ZfaOvwyIqtsMikeUNPPogIg.Jyo8miaAKoaerU6TVDGTxeOfp-svCMQDbb2JOXk_JBsg.JPEG.4bubuss%2F38.jpg%3Ftype%3Dw966', 'https://img1.kakaocdn.net/relay/local/R680x420/?fname=http%3A%2F%2Fpostfiles10.naver.net%2FMjAyMDA3MDJfMTcw%2FMDAxNTkzNjY5NTk5MzA5.47zMzWpFu6EwqGZ8qvuNORUO6PdfJH0nLBwMJDMbJ5sg.JtgyUFevS7sFb9FRmNME8xtTV46NIkDsp0AZRjnO7Qog.JPEG.4bubuss%2F37.jpg%3Ftype%3Dw966', 'https://img1.kakaocdn.net/relay/local/R680x420/?fname=http%3A%2F%2Fpostfiles12.naver.net%2FMjAyMDA3MDJfMjg0%2FMDAxNTkzNjY5NTk5MjU3.y_k41i3r5LrWdE_1duEEBojQaHeFHy4SmpGX7mUtiewg.as6ZCFhpkwekx8Payyyu05w8qtF9y4sVmydGgjsLcbMg.JPEG.4bubuss%2F36.jpg%3Ftype%3Dw966', 'https://img1.kakaocdn.net/relay/local/R680x420/?fname=http%3A%2F%2Fpostfiles3.naver.net%2FMjAyMDA3MDJfMTU1%2FMDAxNTkzNjY5NTk5MDg4.9LfF1OGynquPoEi6R0EMUfUJXvhNvfj0s51eY6RXGAIg.TwwM3FpORhCuKhpl8ysMu_YWafMHhsIHJcGUJv7oZc4g.JPEG.4bubuss%2F35.jpg%3Ftype%3Dw966']",
1,KakaoMap,김천호텔이상,율곡동 787,"['0', '0']",,,율곡동,호텔,,,2.7,,,,2019.10.16.,054-435-7240,"['https://img1.kakaocdn.net/relay/local/R680x420/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2Fsearchregister_512296877', 'https://img1.kakaocdn.net/relay/local/R680x420/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2Fsearchregister_873743409', 'https://img1.kakaocdn.net/relay/local/R680x420/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2Fsearchregister_911670916', 'https://img1.kakaocdn.net/relay/local/R680x420/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2F7EF2CF39878747CCB30EB8F327760336', 'https://img1.kakaocdn.net/relay/local/R680x420/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2FB577BCB5930946DAAB9ECB5761A866E0', 'https://img1.kakaocdn.net/relay/local/R680x420/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2FA1F593F16A034C9986EE7C469B8CA5D4', 'https://img1.kakaocdn.net/relay/local/R680x420/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2FF8658C4ACFF74BA0A5D59A1E637B6D75', 'https://img1.kakaocdn.net/relay/local/R680x420/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2F819F30E395AE4D00919969C65125F50A', 'https://img1.kakaocdn.net/relay/local/R680x420/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F15B572717B844E7088CE4986ECBD4855', 'https://img1.kakaocdn.net/relay/local/R680x420/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FA63FA237869B4CF3869FA52E87058B5D']",
2,KakaoMap,김천 호텔 윈,용두동 83-1,"[36.1207447, 128.1282118]",,,용두동,호텔,,,0,,,,2020.06.10.,,"['https://img1.kakaocdn.net/relay/local/R680x420/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F84FEE9CBF2DB4F779A1BC7BD7A6A9530', 'https://img1.kakaocdn.net/relay/local/R680x420/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F89AFD5C230A34003A6C512F6C0826089', 'https://img1.kakaocdn.net/relay/local/R680x420/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F3475CA9C7B154CD88B52AA88478BF15D', 'https://img1.kakaocdn.net/relay/local/R680x420/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F36F29456747A4EAB8EA720C04E7BEDF9', 'https://img1.kakaocdn.net/relay/local/R680x420/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F13A55500580F4B6381FCA66447EC5E17', 'https://img1.kakaocdn.net/relay/local/R680x420/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FD8F0691BFAC6498FBDB87555CF16E26F', 'https://img1.kakaocdn.net/relay/local/R680x420/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F119B27F9A45F4ACEAC92983E942466C7', 'https://img1.kakaocdn.net/relay/local/R680x420/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F94A6A7A1E4FE46F4B6B1BB7249E4D54B', 'https://img1.kakaocdn.net/relay/local/R680x420/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F53243CE0DCBA49FC9C86F2774185BD20', 'https://img1.kakaocdn.net/relay/local/R680x420/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F87ED83063FFB4BCE86904B4DB839A09B']",
3,KakaoMap,김천그랜드호텔 일식당,부곡동 575,"[36.1233112, 128.100243]",,,부곡동,일식,,,0,,,,2016.11.10.,,[],
4,KakaoMap,김천관광호텔원져빠,,"[36.1233112, 128.100243]",,,부곡동,유흥주점,,,0,,,,2018.08.07.,,[],
5,KakaoMap,호텔로제니아,율곡동 777,"['0', '0']",http://www.logenir.com/,,율곡동,호텔,,,3.6,,,,2021.08.20.,054-429-4700,"['https://img1.kakaocdn.net/relay/local/R680x420/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyMTA3MDhfMjQg%2FMDAxNjI1NzI1MDU4OTg1.QD_i5ONuD_JCcyIDgmrG7vH6wyUGkD8iqh-jorkbqasg.ZyxL1EtiWR3kEvEy1lDjiMlTnJcgnXm1VOODJj_yth4g.JPEG.storyceo%2F00%25EA%25B2%25AC%25EC%25A0%2581%25EC%259A%2594%25EC%25B2%25AD.jpg%3Ftype%3Dw773', 'https://img1.kakaocdn.net/relay/local/R680x420/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyMTAxMjFfMjg2%2FMDAxNjExMjEyMDIyODky.LLg70Fe2m_Utv4mDPOkwrc1TqHqAnaBiF3mhJUYa3q8g.VmVW3cEKry9XCtDBZAHQ49cTxwcoud-Hzej_HkCk9skg.JPEG.storyceo%2F%25EC%2588%2599%25EC%2586%258C-%25EB%25A1%259C%25EC%25A0%259C%25EB%258B%2588%25EC%2595%2584.jpg%3Ftype%3Dw773', 'https://img1.kakaocdn.net/relay/local/R680x420/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyMTAxMjFfNTMg%2FMDAxNjExMjEwOTE3MDA0.NCuxzR-cAwhVyh_3EzjduPUg2TARgcl4mQk18viKqigg.qDkVJYXRIKIVP0ssB3-3OcaE5DReVeAJRu-LWI_wvasg.JPEG.storyceo%2F%25EA%25B3%25A8%25ED%2594%2584%25EC%259E%25A5-%25ED%258F%25AC%25EB%258F%2584.jpg%3Ftype%3Dw773', 'https://img1.kakaocdn.net/relay/local/R680x420/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyMTEwMjFfNDEg%2FMDAxNjM0ODAxNzU4ODQ1.4wl2W3i1neb4MHMZnS26_ylmbdhmdgr1c0eTBl0HW3Ug.sCS4T7BKKA3ihqJpxuldDoTmb-9XYbM5MysfMX7uXMwg.JPEG.storyceo%2F%25EB%25A9%2594%25EC%259D%25B8-%25ED%258F%25AC%25EB%258F%2584_%25EB%25A6%25AC%25EB%25AC%25B4%25EC%25A7%2584_%25ED%258A%25B9%25EA%25B0%2580_11%25EC%259B%2594.jpg%3Ftype%3Dw773', 'https://img1.kakaocdn.net/relay/local/R680x420/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyMTA3MDhfMjQg%2FMDAxNjI1NzI1MDU4OTg1.QD_i5ONuD_JCcyIDgmrG7vH6wyUGkD8iqh-jorkbqasg.ZyxL1EtiWR3kEvEy1lDjiMlTnJcgnXm1VOODJj_yth4g.JPEG.storyceo%2F00%25EA%25B2%25AC%25EC%25A0%2581%25EC%259A%2594%25EC%25B2%25AD.jpg%3Ftype%3Dw773', 'https://img1.kakaocdn.net/relay/local/R680x420/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyMTAxMjFfMjg2%2FMDAxNjExMjEyMDIyODky.LLg70Fe2m_Utv4mDPOkwrc1TqHqAnaBiF3mhJUYa3q8g.VmVW3cEKry9XCtDBZAHQ49cTxwcoud-Hzej_HkCk9skg.JPEG.storyceo%2F%25EC%2588%2599%25EC%2586%258C-%25EB%25A1%259C%25EC%25A0%259C%25EB%258B%2588%25EC%2595%2584.jpg%3Ftype%3Dw773', 'https://img1.kakaocdn.net/relay/local/R680x420/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyMTAxMjFfNTMg%2FMDAxNjExMjEwOTE3MDA0.NCuxzR-cAwhVyh_3EzjduPUg2TARgcl4mQk18viKqigg.qDkVJYXRIKIVP0ssB3-3OcaE5DReVeAJRu-LWI_wvasg.JPEG.storyceo%2F%25EA%25B3%25A8%25ED%2594%2584%25EC%259E%25A5-%25ED%258F%25AC%25EB%258F%2584.jpg%3Ftype%3Dw773', 'https://img1.kakaocdn.net/relay/local/R680x420/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyMTEwMThfOTYg%2FMDAxNjM0NTQwODM1MjMy.WMaKaJTNv8BPTHyGhfd1q9ojiEd22a6w3foEkIx_fLIg.BmLX11K9pUGJEoKbbdgqBbvnToF3b7BDzapYTyHWZo8g.JPEG.storyceo%2F%25EB%25A9%2594%25EC%259D%25B8-%25ED%258F%25AC%25EB%258F%258411%25EC%259B%2594.jpg%3Ftype%3Dw773', 'https://img1.kakaocdn.net/relay/local/R680x420/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyMTA2MjJfNDQg%2FMDAxNjI0MzM5MjI5MDY4.YR41K6RikYqtyUpjok5DD_qcSt5kC3d1WO2-2jnQYDEg.7sKAd1NqJG3L_APqWdxsfUiGcklp2ZaDeg-ZU0Pm3GMg.JPEG.pjmw93%2F20210331_182938.jpg%3Ftype%3Dw773', 'https://img1.kakaocdn.net/relay/local/R680x420/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyMTA2MjJfNDYg%2FMDAxNjI0MzM5MjI5MDg3.cFACLhAQngr5Z1DNsS-maeTdAEmNaLKn0v_3_zpBr1Yg.aMU7xtscwsmiNvZUDNL-yzKQJG9Vm-IW2Vn3rGG2DUQg.JPEG.pjmw93%2F20210331_182936.jpg%3Ftype%3Dw773']",
6,KakaoMap,김천 러브 무인텔,남면 부상리 47-5,"[36.0649367, 128.298245]",,,남면,호텔,,,0,,,,2020.06.10.,,[],
7,KakaoMap,김천 YS 무인텔,,"[36.0649367, 128.298245]",,,남면,호텔,,,0,,,,2020.06.10.,,"['https://img1.kakaocdn.net/relay/local/R680x420/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F22BEC2BCD087481C85C0E178A5F5348F', 'https://img1.kakaocdn.net/relay/local/R680x420/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F5999A591E5374C03A8CA6D21F3ACD491', 'https://img1.kakaocdn.net/relay/local/R680x420/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F8C96734F9430457D9918FA33DAA17D0E', 'https://img1.kakaocdn.net/relay/local/R680x420/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FD9658182066044ADA1A6EBF62CAF024A', 'https://img1.kakaocdn.net/relay/local/R680x420/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F3A4863B379F9478B9788C57FEFB99580', 'https://img1.kakaocdn.net/relay/local/R680x420/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F6BE726E5371641E5AB752454E68E9258', 'https://img1.kakaocdn.net/relay/local/R680x420/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F8F49355AE6784017A72E917166D2354B', 'https://img1.kakaocdn.net/relay/local/R680x420/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FFF45BA19D29F411DA64C3DA6CFAB490B', 'https://img1.kakaocdn.net/relay/local/R680x420/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F235F3457F03249BB86DEDD2EC1B7BF0F', 'https://img1.kakaocdn.net/relay/local/R680x420/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F45C96E8A898A44608F07F8DDF5506443']",
8,KakaoMap,김천 힐링 무인텔,,"[36.0649367, 128.298245]",,,남면,호텔,,,0,,,,2021.05.14.,,"['https://img1.kakaocdn.net/relay/local/R680x420/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FE716AF0D862143E8A56485295474106C', 'https://img1.kakaocdn.net/relay/local/R680x420/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FB3230A7429B24768A757590DD4F30222', 'https://img1.kakaocdn.net/relay/local/R680x420/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F4760424FA8D34C3DA664F83754E105D4', 'https://img1.kakaocdn.net/relay/local/R680x420/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FC28EDC86E7D44D7BA74396005A0712DA', 'https://img1.kakaocdn.net/relay/local/R680x420/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F18E7A64E2B444946B472EB302D8FEC8C', 'https://img1.kakaocdn.net/relay/local/R680x420/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F1A84094281314D0BB66D88470D094CD5', 'https://img1.kakaocdn.net/relay/local/R680x420/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FD42DF36395CB438586B5B8A9A3883559', 'https://img1.kakaocdn.net/relay/local/R680x420/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F4A088E8335BA4594A8D559D8C7AEC118', 'https://img1.kakaocdn.net/relay/local/R680x420/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F0ADFAE3C7E6F4C64A3316D35FAD7F9EE', 'https://img1.kakaocdn.net/relay/local/R680x420/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F4F433F04C9814220B56E6D67A9188E10']",
9,KakaoMap,김천 리코 무인텔,남면 오봉리 1257-2,"[36.1268113, 128.2319274]",,,남면,호텔,,,0,,,,2020.06.14.,,"['https://img1.kakaocdn.net/relay/local/R680x420/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FFA49A820C40949DDBA644996069AC84C', 'https://img1.kakaocdn.net/relay/local/R680x420/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F5D15198E238F40F18421A95899D30B85', 'https://img1.kakaocdn.net/relay/local/R680x420/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F6C4C3DC7A5BA4FD0A3AAD45045A3E2D9', 'https://img1.kakaocdn.net/relay/local/R680x420/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F21921770FCF44838A7D1B28760822EBB', 'https://img1.kakaocdn.net/relay/local/R680x420/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F79D0466B5EC74E3EBE890BEE7E95BAE8', 'https://img1.kakaocdn.net/relay/local/R680x420/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FFA49A820C40949DDBA644996069AC84C']",
