,dataSource,name,address,geo,siteUrl,tourArea,administrativeDong,lodgingCategory,roomType,description,aggregate_rating,star_rating,officalRating,facility,lastUpdate,telephone,imageUrl,event
0,NaverPlace,호박여관,경북 김천시 평화중앙6길 21,"[36.1222237, 128.1139458]",,,평화중앙6길,여관,,,,,,,,,,
1,NaverPlace,엘림장여관,경북 김천시 평화중앙2길 2,"[36.1229802, 128.1126826]",,,평화중앙2길,여관,,,,,,,,,,
2,NaverPlace,로미오여관,경북 김천시 아랫장터2길 71,"[36.1226269, 128.1296102]",,,아랫장터2길,여관,,,,,,,,054-435-2231,,
3,NaverPlace,파크장여관,경북 김천시 평화7길 3,"[36.1249621, 128.1087961]",,,평화7길,여관,,,,,,,,054-430-1212,,
4,NaverPlace,삼원장여관,경북 김천시 평화9길 3,"[36.1247786, 128.1093902]",,,평화9길,여관,,,,,,,,054-432-7588,,
5,NaverPlace,서림장사우나여관,경북 김천시 자래밭골길 15,"[36.1170678, 128.1234848]",,,자래밭골길,여관,,,,,,,,,,
6,NaverPlace,제주파크장,경북 김천시 평화길 39,"[36.1247491, 128.1090702]",,,평화길,여관,,,,,,,,054-430-6999,,
7,NaverPlace,힐튼장여관,경북 김천시 영남대로 2076,"[36.1152901, 128.1548513]",,,영남대로,여관,,,,,,,,054-430-6763,,
8,NaverPlace,백운장여관,경북 김천시 평화5길 22,"[36.1259202, 128.1087207]",,,평화5길,여관,,,,,,,,,,
9,NaverPlace,하이파크장,경북 김천시 부곡시장1길 38,"[36.1258798, 128.1055622]",,,부곡시장1길,여관,,,,,,,,054-433-5888,,
10,NaverPlace,강남장여관,경북 김천시 황산3길 17,"[36.1160363, 128.1331851]",,,황산3길,여관,,,,,,,,,,
11,NaverPlace,홍일장여관,경북 김천시 평화길 123,"[36.1231312, 128.1130906]",,,평화길,여관,,,,,,,,,,
12,NaverPlace,신진장여관,경북 김천시 모암행복2길 32,"[36.1200303, 128.1261822]",,,모암행복2길,여관,,,,,,,,,,
13,NaverPlace,성수장여관,경북 김천시 문화1길 40,"[36.1270409, 128.1083734]",,,문화1길,여관,,,,,,,,054-432-4828,,
14,NaverPlace,혜림장여관,경북 김천시 평화중앙8길 8,"[36.1222816, 128.1145946]",,,평화중앙8길,여관,,,,,,,,054-432-1202,,
15,NaverPlace,실버홈,경북 김천시 황산3길 55,"[36.116674, 128.1310756]",,,황산3길,여관,,,,,,,,,,
16,NaverPlace,영남여관,경북 김천시 평화중앙2길 6,"[36.1228208, 128.1125391]",,,평화중앙2길,여관,,,,,,,,054-434-2128,,
17,NaverPlace,롯데장여관,경북 김천시 평화7길 13,"[36.1253648, 128.1089655]",,,평화7길,여관,,,,,,,,054-433-6563,,
18,NaverPlace,수정여관,경북 김천시 평화중앙6길 29-1,"[36.1217677, 128.1138262]",,,평화중앙6길,여관,,,,,,,,054-434-2764,,
19,NaverPlace,제일파크모텔,경북 김천시 부곡시장1길 30,"[36.1256331, 128.1052697]",,,부곡시장1길,여관,,,,,,,,054-432-4001,,
20,NaverPlace,반도장,경북 김천시 평화중앙7길 37,"[36.1215566, 128.1159167]",,,평화중앙7길,여관,,,,,,,,,,
21,NaverPlace,정금장여관,경북 김천시 가산2길 14,"[36.1145618, 128.1247794]",,,가산2길,여관,,,,,,,,054-432-8367,,
22,NaverPlace,천일여관,경북 김천시 대항면 황학동길 13,"[36.1147816, 128.0166332]",,,대항면,여관,,,,,,,,054-436-6038,,
23,NaverPlace,리베라장여관,경북 김천시 자산로 115,"[36.1208863, 128.1193972]",,,자산로,여관,,,,,,,,,,
24,NaverPlace,동원여인숙,경북 김천시 평화시장2길 5,"[36.1233992, 128.1117445]",,,평화시장2길,여관,,,,,,,,,,
25,NaverPlace,청운여관,경북 김천시 아랫장터2길 67,"[36.12247190000001, 128.1295811]",,,아랫장터2길,여관,,,,,,,,,,
26,NaverPlace,한강파크장,경북 김천시 부곡중앙길 6-9,"[36.1245245, 128.1031597]",,,부곡중앙길,여관,,,,,,,,,,
27,NaverPlace,반도여관,경북 김천시 백옥길 5,"[36.1253448, 128.0807951]",,,백옥길,여관,,,,,,,,054-434-3336,,
28,NaverPlace,강변장여관,경북 김천시 황산3길 55,"[36.116674, 128.1310756]",,,황산3길,여관,,,,,,,,054-436-0031,[],
